TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:33:23.2723|2310|10|5612|Unknown|0000000000||
2011-08-08 16:33:23.6941|2232|3|9423|Unknown|0000000000||
2011-08-08 16:33:23.8660|2200|4|3770|Unknown|0000000000||9781439173138,9781439110003,9780152050191,9780061547560,9780545060424
2011-08-08 16:33:24.3035|2603|4|5954|Member|5102431939||9780439425162,9780545160230,9780439874250,9780545121033,9780764113574
2011-08-08 16:33:25.4910|2039|2|3978|Unknown|0000000000||9780312642075,9780545259088,9781606841686,9781442426641,9781250000231
2011-08-08 16:33:25.6004|2675|29|5577|Unknown|0000000000||94922353498,635975200935,27084178944,27084839371,27084823714
2011-08-08 16:33:26.2567|2280|7|4696|Unknown|0000000000||9780345502919,9780765356543,9780765343642,9780812545586,9780765315670
2011-08-08 16:33:26.5692|2356|12|2566|Member|5004850843||
2011-08-08 16:33:27.2723|2133|6|8899|Unknown|0000000000||
2011-08-08 16:33:27.2880|2597|14|1321|Unknown|0000000000||
2011-08-08 16:33:28.0223|2910|4|733|Member|5058588266||
2011-08-08 16:33:29.0224|2078|1|2713|Unknown|0000000000||9780449213506,9780671646783,9780671746070,9780134106717,9780800754457
2011-08-08 16:33:29.2099|2270|4|4043|Member|5010097324||
2011-08-08 16:33:30.1318|2925|5|3362|Unknown|0000000000||9780594152248,9780741239372,9781616836634,9781402259944,9781616836672
2011-08-08 16:33:30.2568|2307|3|3900|Member|5168129421||9780062081018,9780545259088,9780670012244,9780061976797,9780316027373
2011-08-08 16:33:30.4130|2109|3|5396|Unknown|0000000000||9781607148494,9781419550034,9780764146169,9780375428180,9780071700528
2011-08-08 16:33:32.9287|2856|2|1273|Member|5258466557||9780062019516,9780451207470,9780515135213,9780451209856,9781616814793
2011-08-08 16:33:33.8818|2255|4|9515|Unknown|0000000000||9781565847033,9780805082845,9780872865334,9781608460717,9781594515217
